N/o,Data anuntului,IDNO,Denumirea,Adresa,Din,In
87,2025-02-27,1016600039130,"Societatea cu Răspundere Limitată ""ZENKO GROUP""","MD-2075, str. Nicolae Milescu-Spătarul 21/5, ap.(of.) 52, mun. Chişinău, Republica Moldova","SOCIETATEA CU RASPUNDERE LIMITATA ""ENERG PELLET""","Societatea cu Răspundere Limitată ""ZENKO GROUP"""
88,2025-02-28,1003600034454,"Societatea cu Răspundere Limitată ""AGROSELECT SEMENCES TRADING""","MD-2062, bd. Dacia 45, mun. Chişinău, Republica Moldova","INTREPRINDEREA MIXTA ""AGROSELECT SEMENCES TRADING"" S.R.L.","Societatea cu Răspundere Limitată ""AGROSELECT SEMENCES TRADING"""
89,2025-03-03,1024600008609,"Societatea cu Răspundere Limitată ""BEST ACCOUNTING SOLUTIONS""","MD-4839, str. Speranţei 8, ap.(of.) 1, or. Stăuceni, mun. Chişinău, Republica Moldova","SOCIETATEA CU RASPUNDERE LIMITATA ""FRAME DESIGN CONSULTING""","Societatea cu Răspundere Limitată ""BEST ACCOUNTING SOLUTIONS"""
90,2025-03-03,1017600035335,"Broker de Asigurare-Reasigurare ""VILMAX ASIG"" S.R.L.","MD-2071, str. Alba-Iulia 75/8A, ap.(of.) 11, mun. Chişinău, Republica Moldova","AGENT DE ASIGURARE ""VILMAX ASIG"" S.R.L.","Broker de Asigurare-Reasigurare ""VILMAX ASIG"" S.R.L."
91,2025-03-04,1021600046882,"Societatea cu Răspundere Limitată ""SEA GO""","MD-2068, bd. Moscova 15/2, ap.(of.) 7, mun. Chişinău, Republica Moldova","SOCIETATEA CU RASPUNDERE LIMITATA ""SONYA BYKET""","Societatea cu Răspundere Limitată ""SEA GO"""
92,2025-03-04,1012600029946,"Societatea cu Răspundere Limitată ""WIENERBAU""","MD-2028, str. Acad. I. Grosul 2, ap.(of.) 2, mun. Chişinău, Republica Moldova","INTREPRINDEREA MIXTA ""WIENERBAU"" SOCIETATE CU RASPUNDERE LIMITATA","Societatea cu Răspundere Limitată ""WIENERBAU"""
93,2025-03-04,1022600057315,"Societatea cu Răspundere Limitată ""INSIGHT MATRIX""","MD-2009, str. Panteleimon Halippa 6/G, ap.(of.) 19, mun. Chişinău, Republica Moldova","SOCIETATEA CU RASPUNDERE LIMITATA ""SYSTEM GLOBAL CORPORATION""","Societatea cu Răspundere Limitată ""INSIGHT MATRIX"""
94,2025-03-04,1014609001417,"Societatea cu Răspundere Limitată ""MOBHOME""","MD-3601, str. Oleg Ungureanu 12, mun. Ungheni, r-l Ungheni, Republica Moldova","SOCIETATEA CU RASPUNDERE LIMITATA ""PRISACA DOMNEASCA""","Societatea cu Răspundere Limitată ""MOBHOME"""
95,2025-03-04,1017600009514,"Societatea cu Răspundere Limitată ""INTELLECT SECURITY""","MD-2024, str. Tudor Vladimirescu 8/1, mun. Chişinău, Republica Moldova","ORGANIZATIA PARTICULARA DE PAZA ""INTELLECT SECURITY"" SOCIETATE CU RASPUNDERE LIMITATA","Societatea cu Răspundere Limitată ""INTELLECT SECURITY"""
96,2025-03-04,1008603003232,"Societate cu Răspundere Limitată ""CONSTANTIN EXPRESS""","MD-5316, s. Colibaşi, r-l Cahul, Republica Moldova","SOCIETATE CU RASPUNDERE LIMITATA ""CONST-STIL""","Societate cu Răspundere Limitată ""CONSTANTIN EXPRESS"""
97,2025-03-05,1021600051590,"Societatea cu Răspundere Limitată ""SEVENNOTES""","MD-2044, str. Maria Drăgan 30/8, ap.(of.) 82, mun. Chişinău, Republica Moldova","SOCIETATEA CU RASPUNDERE LIMITATA ""POSTU IMOBIL""","Societatea cu Răspundere Limitată ""SEVENNOTES"""
98,2025-03-06,1014600008790,"Societatea cu Răspundere Limitată ""RaVi24""","MD-2071, str. Liviu Deleanu 9, ap.(of.) 42, mun. Chişinău, Republica Moldova","SOCIETATEA CU RASPUNDERE LIMITATA ""CERTIFIED TRANSLATIONS""","Societatea cu Răspundere Limitată ""RaVi24"""
99,2025-03-07,1003600038647,"Asociaţia de Proprietari din Condominiu ""A0131-0030""","MD-2011, str. Costiujeni 3/17, or. Codru, mun. Chişinău, Republica Moldova","ASOCIATIA PROPRIETARILOR DE LOCUINTE PRIVATIZATE ""NR.50/269"" COOP","Asociaţia de Proprietari din Condominiu ""A0131- 0030"""
100,2025-03-07,1023605005363,"Societatea cu Răspundere Limitată ""VD- GENERAL EXPRES""","MD-3528, s. Ghetlova, r-l Orhei, Republica Moldova","SOCIETATEA CU RASPUNDERE LIMITATA ""ION-GENERAL EXPRES""","Societatea cu Răspundere Limitată ""VD- GENERAL EXPRES"""
101,2025-03-07,1004611003507,"SOCIETATEA COMERCIALA ""NOVAK WINERY"" S.R.L.","MD-3801, str. Alexandr Suvorov 58/1, mun. Comrat, UTA Găgăuzia, Republica Moldova","SOCIETATEA COMERCIALA ""TARTCOMVIN"" S.R.L.","SOCIETATEA COMERCIALA ""NOVAK WINERY"" S.R.L."
102,2025-03-11,1021600025425,"Societatea cu Răspundere Limitată ""CAFFE DOLCE VITA""","MD-2069, str. Mesager 5/1, ap.(of.) 115, mun. Chişinău, Republica Moldova","SOCIETATEA CU RASPUNDERE LIMITATA ""CARP CONSTRUCT""","Societatea cu Răspundere Limitată ""CAFFE DOLCE VITA"""
103,2025-03-11,1015609002569,"Societatea cu Răspundere Limitată ""GRUP TOP AGRO""","MD-3608, str. Ştefan cel Mare 120, or. Corneşti, r-l Ungheni, Republica Moldova","COOPERATIVA AGRICOLA DE INTREPRINZATOR ""GRUP TOP AGRO""","Societatea cu Răspundere Limitată ""GRUP TOP AGRO"""
104,2025-03-13,1005600059835,"Casa de Schimb Valutar ""CLASS- TRADING"" Societate cu Răspundere Limitată","MD-3801, str. Pobeda 59, mun. Comrat, UTA Găgăuzia, Republica Moldova","INTREPRINDEREA CU CAPITAL STRAIN ""CLASS-TRADING"" S.R.L.","Casa de Schimb Valutar ""CLASS-TRADING"" Societate cu Răspundere Limitată"
105,2025-03-14,1004600029581,"Asociaţia de Proprietari din Condominiu ""A0110-0257""","MD-2015, str. Minsk 26/2, mun. Chişinău, Republica Moldova","COOPERATIVA DE CONSTRUCTIE A LOCUINTELOR ""NR.6"" MUN. CHISINAU","Asociaţia de Proprietari din Condominiu ""A0110- 0257"""
106,2025-03-14,1016600006011,"Societatea cu Răspundere Limitată ""SPSD PARTNERS""","MD-2044, str. Mihail Sadoveanu 11/1, ap.(of.) 91, mun. Chişinău, Republica Moldova","SOCIETATEA CU RASPUNDERE LIMITATA ""IMOBIL PARTNERS""","Societatea cu Răspundere Limitată ""SPSD PARTNERS"""
107,2025-03-15,1018600036100,"Societatea cu Răspundere Limitată ""NEWTECH AUTOMATION GROUP""","MD-3401, str. Mihalcea Hâncu 143, ap.(of.) 1, mun. Hînceşti, r-l Hînceşti, Republica Moldova","SOCIETATEA CU RASPUNDERE LIMITATA ""DIVERSITAS INVEST""","Societatea cu Răspundere Limitată ""NEWTECH AUTOMATION GROUP"""
108,2025-03-17,1021600050917,"Societatea cu Răspundere Limitată ""GLOBAL WAY COMPANY""","MD-2020, str. Calea Orheiului 103/2, ap.(of.) 79, mun. Chişinău, Republica Moldova","SOCIETATEA CU RASPUNDERE LIMITATA ""U&L COTIDIAN CONTABIL""","Societatea cu Răspundere Limitată ""GLOBAL WAY COMPANY"""
109,2025-03-17,1017600046160,"Societatea cu Răspundere Limitată ""EDIFICIU CONS""","MD-2037, str. Movileni 77, mun. Chişinău, Republica Moldova","SOCIETATEA CU RASPUNDERE LIMITATA ""PRIM LOGIST COMPANY""","Societatea cu Răspundere Limitată ""EDIFICIU CONS"""
110,2025-03-18,1022600010585,"Societatea cu Răspundere Limitată ""GZIRA INVESTMENTS""","MD-2093, str. Andrei Mureşanu 2, s. Grătieşti, mun. Chişinău, Republica Moldova","CASA DE SCHIMB VALUTAR ""DGV EXCHANGE"" SOCIETATEA CU RASPUNDERE LIMITATA","Societatea cu Răspundere Limitată ""GZIRA INVESTMENTS"""
111,2025-03-18,1003600073440,"Asociaţia de Proprietari din Condominiu ""A0120-0269""","MD-2012, str. 31 August 1989 123, mun. Chişinău, Republica Moldova","ASOCIATIA PROPRIETARILOR DE LOCUINTE PRIVATIZATE ""NR.53/331"" COOP","Asociaţia de Proprietari din Condominiu ""A0120- 0269"""
112,2025-03-18,1003600073901,"Asociaţia de Proprietari din Condominiu ""A8001-0018""","MD-3701, str. Ştefan cel Mare 28/3, mun. Străşeni, r-l Străşeni, Republica Moldova","COOPERATIVA DE CONSTRUCTIE A LOCUINTELOR ""ELTING""","Asociaţia de Proprietari din Condominiu ""A8001- 0018"""
113,2025-03-19,1024600076912,"Societatea cu Răspundere Limitată ""MAN'S RESOURCES WORLDWIDE""","MD-2024, str. Florării 1, mun. Chişinău, Republica Moldova","SOCIETATEA CU RASPUNDERE LIMITATA ""PAINTLESS DENT REPAIR CH""","Societatea cu Răspundere Limitată ""MAN'S RESOURCES WORLDWIDE"""
114,2025-03-21,1020600002584,"Societatea cu Răspundere Limitată ""NORTH MEAT""","MD-2003, str. Mirceşti 16, or. Durleşti, mun. Chişinău, Republica Moldova","SOCIETATEA CU RASPUNDERE LIMITATA ""PV CHEMICAL GROUP""","Societatea cu Răspundere Limitată ""NORTH MEAT"""
115,2025-03-21,1023600068985,"Societatea cu Răspundere Limitată ""ART ROCKET""","MD-2038, str. Trandafirilor 15/2, mun. Chişinău, Republica Moldova","SOCIETATEA CU RASPUNDERE LIMITATA ""SOFTWARE DESIGN""","Societatea cu Răspundere Limitată ""ART ROCKET"""
116,2025-03-21,1024600060665,"Societatea cu Răspundere Limitată ""8DPLAN""","MD-2045, str. Primar Gherman Pîntea 215C, mun. Chişinău, Republica Moldova","SOCIETATEA CU RASPUNDERE LIMITATA ""DID-S""","Societatea cu Răspundere Limitată ""8DPLAN"""
117,2025-03-21,1025602000903,"Societatea cu Răspundere Limitată ""BITWAT-CONSULT""","MD-6203, str. Prieteniei 15/A, ap.(of.) 53, or. Biruinţa, r-l Sîngerei, Republica Moldova","SOCIETATEA CU RASPUNDERE LIMITATA ""CIALCOV COMPANY""","Societatea cu Răspundere Limitată ""BITWAT- CONSULT"""
118,2025-03-24,1018600028767,"Societatea cu Răspundere Limitată ""INVERTOR LUX""","MD-2002, str. Simeon Murafa 13, ap.(of.) 15, mun. Chişinău, Republica Moldova","SOCIETATEA CU RASPUNDERE LIMITATA ""TRANS POL LOGISTIC""","Societatea cu Răspundere Limitată ""INVERTOR LUX"""
119,2025-03-25,1003600049955,"Societatea cu Răspundere Limitată ""BARLETA INTERNATIONAL""","MD-2008, str. G. Alexandrescu 17/1, ap.(of.) 61, mun. Chişinău, Republica Moldova","INTREPRINDEREA MIXTA ""BARLETA INTERNATIONAL"" S.R.L.","Societatea cu Răspundere Limitată ""BARLETA INTERNATIONAL"""
120,2025-03-25,1014600025160,"Societatea cu Răspundere Limitată ""PRIME HR SOLUTIONS""","MD-2009, str. Mihail Kogălniceanu 49, ap.(of.) 10, mun. Chişinău, Republica Moldova","SOCIETATEA CU RASPUNDERE LIMITATA ""HOOK FOOTBALL SCOUTING AND CONSULTING""","Societatea cu Răspundere Limitată ""PRIME HR SOLUTIONS"""
121,2025-03-25,1014600020534,"Societatea cu Răspundere Limitată ""PERFECTUM MODULE""","MD-2062, str. Botanica Veche 43/1, ap.(of.) 43, mun. Chişinău, Republica Moldova","SOCIETATEA CU RASPUNDERE LIMITATA ""EUROPROFLINE""","Societatea cu Răspundere Limitată ""PERFECTUM MODULE"""
122,2025-03-25,1024600090288,"Societatea cu Răspundere Limitată ""DVM DETAIL""","MD-6801, str. Victor Crăsescu 2/A, ap.(of.) 16, or. Ialoveni, Republica Moldova","SOCIETATEA CU RASPUNDERE LIMITATA ""KARCHER CAR WASH""","Societatea cu Răspundere Limitată ""DVM DETAIL"""
123,2025-03-25,1015600038033,"Societatea cu Răspundere Limitată ""PERFECTUM RESORTS""","MD-2002, sos. Munceşti 187, mun. Chişinău, Republica Moldova","SOCIETATEA CU RASPUNDERE LIMITATA ""EURO SIGPLAST""","Societatea cu Răspundere Limitată ""PERFECTUM RESORTS"""
124,2025-03-25,1007602013044,"Întreprinderea Municipală ""PLATFORMA INDUSTRIALĂ MULTIFUNCŢIONALĂ DIN GLODENI""","MD-4901, str. Suveranităţii 4, or. Glodeni, Republica Moldova","INTREPRINDEREA MUNICIPALA ""CENTRUL DE TINERET DIN GLODENI""","Întreprinderea Municipală ""PLATFORMA INDUSTRIALĂ MULTIFUNCŢIONALĂ DIN GLODENI"""
125,2025-03-25,1017600028667,"Societatea cu Răspundere Limitată ""ARES TECH & SOLUTIONS""","MD-2075, str. Mihail Sadoveanu 28, ap.(of.) 221, mun. Chişinău, Republica Moldova","SOCIETATEA CU RASPUNDERE LIMITATA ""IT REMOTE SERVICE""","Societatea cu Răspundere Limitată ""ARES TECH & SOLUTIONS"""
126,2025-03-27,1003600053459,"Întreprinderea Mixtă ""LES TERRES NOIRES"" Societate cu Răspundere Limitată","MD-2005, str. Alexandr Puşkin 50A, ap.(of.) 25, mun. Chişinău, Republica Moldova","INTREPRINDEREA MIXTA ""LES TERRES NOIRES"" S.R.L.","Întreprinderea Mixtă ""LES TERRES NOIRES"" Societate cu Răspundere Limitată"
127,2025-03-28,1011600003509,"Societatea cu Răspundere Limitată ""SUMMIT CONSTRUCT""","MD-2003, str. Liviu Deleanu 10/4,, ap.(of.) 12, or. Durleşti, mun. Chişinău, Republica Moldova","SOCIETATEA CU RASPUNDERE LIMITATA ""GRINALEX GRUP""","Societatea cu Răspundere Limitată ""SUMMIT CONSTRUCT"""
128,2025-04-01,1012600001775,"Societatea cu Răspundere Limitată ""GLOBAL FRUCT GRUP""","MD-4571, s. Cocieri, r-l Dubăsari, Republica Moldova","SOCIETATEA CU RASPUNDERE LIMITATA ""SAVINTER - CONS""","Societatea cu Răspundere Limitată ""GLOBAL FRUCT GRUP"""
129,2025-04-01,1003600109091,"Societatea cu Răspundere Limitată ""DAINARIS - E.N.""","MD-2002, sos. Munceşti 364, mun. Chişinău, Republica Moldova","AGENTIA DE PAZA ""DAINARIS - E.N."" S.R.L.","Societatea cu Răspundere Limitată ""DAINARIS - E.N."""
130,2025-04-01,1017600010822,"Societatea cu Răspundere Limitată ""ÎMPRUMUT INVEST""","MD-2059, str. Liviu Damian 6/1, mun. Chişinău, Republica Moldova","ORGANIZATIA DE CREDITARE NEBANCARA ""IMPRUMUT INVEST"" SOCIETATE CU RASPUNDERE LIMITATA","Societatea cu Răspundere Limitată ""ÎMPRUMUT INVEST"""
131,2025-04-02,1003600066875,"Asociaţia de Proprietari din Condominiu ""A0150-0315""","MD-2068, str. Florilor 18/1, mun. Chişinău, Republica Moldova","ASOCIATIA PROPRIETARILOR DE LOCUINTE PRIVATIZATE ""NR.52/292""","Asociaţia de Proprietari din Condominiu ""A0150- 0315"""
132,2025-04-02,1003600093372,"Asociaţia de Proprietari din Condominiu ""A0140-0171""","MD-2075, str. Nicolae Milescu-Spătarul 19/3, mun. Chişinău, Republica Moldova","ASOCIATIA PROPRIETARILOR DE LOCUINTE PRIVATIZATE ""NR.54/321"" COOP","Asociaţia de Proprietari din Condominiu ""A0140- 0171"""
133,2025-04-02,1024600049828,"Societatea cu Răspundere Limitată ""VEV- CONSULTING""","MD-2015, str. Nicolae Titulescu 14, mun. Chişinău, Republica Moldova","SOCIETATEA CU RASPUNDERE LIMITATA ""VEV-MANAGEMENT TECH""","Societatea cu Răspundere Limitată ""VEV- CONSULTING"""
134,2025-04-02,1024600052576,"Societatea cu Răspundere Limitată ""CLEVERAGE""","MD-2005, str. Petru Rareş 36, ap.(of.) 117, mun. Chişinău, Republica Moldova","SOCIETATEA CU RASPUNDERE LIMITATA ""NICKAN SOLUTIONS""","Societatea cu Răspundere Limitată ""CLEVERAGE"""
135,2025-04-02,1007600033709,"Societatea cu Răspundere Limitată ""MEITAL GROUP""","MD-2070, sos. Hînceşti 142, mun. Chişinău, Republica Moldova","INTREPRINDEREA CU CAPITAL STRAIN ""MEITAL GROUP"" S.R.L.","Societatea cu Răspundere Limitată ""MEITAL GROUP"""
136,2025-04-02,1008600039546,"Societatea cu Răspundere Limitată ""MUDDT INVEST""","MD-6801, str. Vasile Lupu 4, or. Ialoveni, Republica Moldova","SOCIETATEA CU RASPUNDERE LIMITATA ""NASTAS TRANS""","Societatea cu Răspundere Limitată ""MUDDT INVEST"""
137,2025-04-02,1009600032658,"Societatea cu Răspundere Limitată ""D.C.G. COM-PRIM""","MD-2049, bd. Mircea cel Batrîn 32/10, mun. Chişinău, Republica Moldova","CASA DE SCHIMB VALUTAR ""D.C.G. COM- PRIM"" SOCIETATE CU RASPUNDERE LIMITATA","Societatea cu Răspundere Limitată ""D.C.G. COM-PRIM"""
138,2025-04-03,1002600013676,"Asociaţia de Proprietari din Condominiu ""A0150-0316""","MD-2068, str. Miron Costin 10, mun. Chişinău, Republica Moldova","ASOCIATIA PROPRIETARILOR DE LOCUINTE PRIVATIZATE ""NR.52/166"" COOP","Asociaţia de Proprietari din Condominiu ""A0150- 0316"""
139,2025-04-03,1002600022739,"Asociaţia de Proprietari din Condominiu ""A0120-0270""","MD-2064, str. Doina şi Ion Aldea-Teodorovici 12/2, mun. Chişinău, Republica Moldova","ASOCIATIA PROPRIETARILOR DE LOCUINTE PRIVATIZATE ""NR.53/408"" COOP","Asociaţia de Proprietari din Condominiu ""A0120- 0270"""
140,2025-04-03,1014600003072,"Societatea cu Răspundere Limitată ""AGENT DIRECT""","MD-2009, str. Drumul Viilor 28, ap.(of.) 6, mun. Chişinău, Republica Moldova","AGENT DE ASIGURARE ""AGENT DIRECT"" SOCIETATEA CU RASPUNDERE LIMITATA","Societatea cu Răspundere Limitată ""AGENT DIRECT"""
141,2025-04-04,1011600006120,"Societatea cu Răspundere Limitată ""DASTUDIO CLASS""","MD-2043, str. Teilor 6, mun. Chişinău, Republica Moldova","SOCIETATEA CU RASPUNDERE LIMITATA ""AD-MODEL""","Societatea cu Răspundere Limitată ""DASTUDIO CLASS"""
142,2025-04-04,1017600032987,"Societatea cu Răspundere Limitată ""ENEX SOLUTIONS""","MD-2071, str. Alba-Iulia 23/6, ap.(of.) 70, mun. Chişinău, Republica Moldova","SOCIETATEA CU RASPUNDERE LIMITATA ""ENEX CONSULTING GROUP""","Societatea cu Răspundere Limitată ""ENEX SOLUTIONS"""
143,2025-04-04,1009600038890,"Societatea cu Răspundere Limitată ""PRO 100 AGRO""","MD-2002, str. Plaiului 2, ap.(of.) 62, mun. Chişinău, Republica Moldova","SOCIETATEA CU RASPUNDERE LIMITATA ""PRO 100 DESIGN""","Societatea cu Răspundere Limitată ""PRO 100 AGRO"""
144,2025-04-08,1002600018567,"Asociaţia de Proprietari din Condominiu ""A0150-0303""","MD-2005, str. Ismail 100, mun. Chişinău, Republica Moldova","ASOCIATIA DE COPROPRIETARI IN CONDOMINIU ""A0150-0303""","Asociaţia de Proprietari din Condominiu ""A0150- 0303"""
145,2025-04-08,1022606000092,"Societatea cu Răspundere Limitată ""EREMIA OIL COMPANY""","MD-5001, str. Ilie Caplunov 15, or. Floreşti, Republica Moldova","SOCIETATEA CU RASPUNDERE LIMITATA ""LOLITAELI""","Societatea cu Răspundere Limitată ""EREMIA OIL COMPANY"""
146,2025-04-08,1003600067403,"Asociaţia de Proprietari din Condominiu ""A0110-0260""","MD-2043, str. Independenţei 10/1, mun. Chişinău, Republica Moldova","ASOCIATIA PROPRIETARILOR DE LOCUINTE PRIVATIZATE ""NR.51/280"" COOP","Asociaţia de Proprietari din Condominiu ""A0110- 0260"""
147,2025-04-08,1005600049786,"Societatea cu Răspundere Limitată ""HOMEOTEH""","MD-2001, str. Bucureşti 36/2, mun. Chişinău, Republica Moldova","INTREPRINDEREA CU CAPITAL STRAIN ""HOMEOTEH"" S.R.L.","Societatea cu Răspundere Limitată ""HOMEOTEH"""
148,2025-04-08,1025600022215,"Societatea cu Răspundere Limitată ""AGROVISION PARTNERS""","MD-2012, bd. Constantin Negruzzi 2/6, mun. Chişinău, Republica Moldova","SOCIETATEA CU RASPUNDERE LIMITATA ""AGROBRIDGE CONSULTING""","Societatea cu Răspundere Limitată ""AGROVISION PARTNERS"""
149,2025-04-09,1010600034661,"Societatea cu Răspundere Limitată ""DIGITAL LED MEDIA""","MD-6801, str. Valea Haiducilor 3, or. Ialoveni, Republica Moldova","SOCIETATEA CU RASPUNDERE LIMITATA ""MAC-NIC COM""","Societatea cu Răspundere Limitată ""DIGITAL LED MEDIA"""
150,2025-04-10,1003600072627,"Asociaţia de Proprietari din Condominiu ""A0120-0271""","MD-2051, str. Suceviţa 22/1, mun. Chişinău, Republica Moldova","ASOCIATIA PROPRIETARILOR DE LOCUINTE PRIVATIZATE ""NR.53/146"" COOP","Asociaţia de Proprietari din Condominiu ""A0120- 0271"""
151,2025-04-10,1006602006933,"Asociaţia de Proprietari din Condominiu ""A0300-0126""","MD-3100, str. Aurel Vlaicu 9, mun. Bălţi, Republica Moldova","ASOCIATIA DE CETATENI DE LOCUINTE PRIVATIZATE ""NR. 47/26"" COOP","Asociaţia de Proprietari din Condominiu ""A0300- 0126"""
152,2025-04-10,1016606001454,"Societatea cu Răspundere Limitată ""PACKING SERVICE PRO""","MD-3501, str. Vasile Lupu 5/57, mun. Orhei, r-l Orhei, Republica Moldova","SOCIETATEA CU RASPUNDERE LIMITATA ""UNICART-SERVICE""","Societatea cu Răspundere Limitată ""PACKING SERVICE PRO"""
153,2025-04-10,1017603005816,"Societatea cu Răspundere Limitată ""RADANOVABENEFIT""","MD-7401, str. Gogol 102, or. Taraclia, Republica Moldova","SOCIETATEA CU RASPUNDERE LIMITATA ""PASLARI&RADANOV""","Societatea cu Răspundere Limitată ""RADANOVABENEFIT"""
154,2025-04-11,1022600002980,"Societatea cu Răspundere Limitată ""PLAI IMOBIL""","MD-2012, str. Bucureşti 67, ap.(of.) 01, mun. Chişinău, Republica Moldova","SOCIETATEA CU RASPUNDERE LIMITATA ""IN WHITE""","Societatea cu Răspundere Limitată ""PLAI IMOBIL"""
155,2025-04-11,1004611002164,"Şcoala Auto ""MEDNII"" Societate cu Răspundere Limitată","MD-3801, str. Maxim Gorkii 11, mun. Comrat, UTA Găgăuzia, Republica Moldova","SOCIETATEA CU RASPUNDERE LIMITATA ""SCOALA AUTO COMRAT""","Şcoala Auto ""MEDNII"" Societate cu Răspundere Limitată"
156,2025-04-11,1024600066977,"Brokerul de Asigurare - Reasigurare ""ARDO-ASIG"" Societate cu Răspundere Limitată","MD-2019, str. Grenoble 106, mun. Chişinău, Republica Moldova","AGENT DE ASIGURARE ""ARDO-ASIG"" SOCIETATE CU RASPUNDERE LIMITATA","Brokerul de Asigurare - Reasigurare ""ARDO- ASIG"" Societate cu Răspundere Limitată"
157,2025-04-11,1025600001995,"Societatea cu Răspundere Limitată ""PAHAR ECO""","MD-2005, str. Albişoara 16, ap.(of.) 68, mun. Chişinău, Republica Moldova","SOCIETATEA CU RASPUNDERE LIMITATA ""RUNEM DIGITAL""","Societatea cu Răspundere Limitată ""PAHAR ECO"""
158,2025-04-14,1003600073417,"Asociaţia de Proprietari din Condominiu ""A0120-0272""","MD-2004, str. Serghei Lazo 26, mun. Chişinău, Republica Moldova","ASOCIATIA PROPRIETARILOR DE LOCUINTE PRIVATIZATE ""NR.53/322"" COOP","Asociaţia de Proprietari din Condominiu ""A0120- 0272"""
159,2025-04-14,1025600018490,"Societatea cu Răspundere Limitată ""CRIN LAW GROUP""","MD-2012, str. Columna 104, ap.(of.) 230, mun. Chişinău, Republica Moldova","SOCIETATEA CU RASPUNDERE LIMITATA ""CRINAR CONSULT""","Societatea cu Răspundere Limitată ""CRIN LAW GROUP"""
160,2025-04-15,1008600041079,"Societatea cu Răspundere Limitată ""NIRA-GRUP""","MD-2001, str. Bucureşti 14, ap.(of.) 13, mun. Chişinău, Republica Moldova","INTREPRINDEREA MIXTA ""NIRA-GRUP"" SOCIETATE CU RASPUNDERE LIMITATA","Societatea cu Răspundere Limitată ""NIRA- GRUP"""
161,2025-04-16,1012600027296,"Societatea cu Răspundere Limitată ""CaffeineCoffe""","MD-2008, str. Vasile Lupu 27, ap.(of.) 2, mun. Chişinău, Republica Moldova","SOCIETATEA CU RASPUNDERE LIMITATA ""BRANDS&BEARS PUBLICITATE""","Societatea cu Răspundere Limitată ""CaffeineCoffe"""
162,2025-04-16,1003600077552,"Asociaţia de Proprietari din Condominiu ""A0150-0317""","MD-2024, str. Academician Andrei Saharov 11, ap.(of.) 2, mun. Chişinău, Republica Moldova","ASOCIATIA PROPRIETARILOR DE LOCUINTE PRIVATIZATE ""52/431"" COOP","Asociaţia de Proprietari din Condominiu ""A0150- 0317"""
163,2025-04-16,1013605003494,"Societatea cu Răspundere Limitată ""SERVICII SALUBRIZARE""","MD-6321, str. 27 August 3, or. Iargara, r-l Leova, Republica Moldova","INTREPRINDEREA MUNICIPALA ""SERVICII SALUBRIZARE""","Societatea cu Răspundere Limitată ""SERVICII SALUBRIZARE"""
164,2025-04-17,1013600022771,"Societatea cu Răspundere Limitată ""MINIMO STYLE""","MD-3726, s. Rădeni, r-l Străşeni, Republica Moldova","SOCIETATEA CU RASPUNDERE LIMITATA ""SPORTSERV PRIM""","Societatea cu Răspundere Limitată ""MINIMO STYLE"""
165,2025-04-17,1005602008907,"Societatea cu Răspundere Limitată ""STIL FOTO""","MD-3733, str. Grigore Ureche 92, s. Truşeni, mun. Chişinău, Republica Moldova","SOCIETATEA COMERCIALA ""METAL PLUS"" S.R.L.","Societatea cu Răspundere Limitată ""STIL FOTO"""
166,2025-04-18,1011600009420,"Societatea cu Răspundere Limitată ""RAVELON""","MD-2042, str. Nicolae Milescu-Spătarul 12, mun. Chişinău, Republica Moldova","INTREPRINDEREA CU CAPITAL STRAIN ""RAVELON"" SOCIETATE CU RASPUNDERE LIMITATA","Societatea cu Răspundere Limitată ""RAVELON"""
167,2025-04-22,1004600044647,"Asociaţia de Proprietari din Condominiu ""A0122-0005""","MD-2055, str. Mihai Eminescu 29/1, or. Vatra, mun. Chişinău, Republica Moldova","ASOCIATIA PROPRIETARILOR DE APARTAMENTE PRIVATIZATE ""NR.53/185"" COOP","Asociaţia de Proprietari din Condominiu ""A0122- 0005"""
168,2025-04-23,1011600011610,"Societatea cu Răspundere Limitată ""SKYBUILD INVEST""","MD-2075, str. Mihail Sadoveanu 35, ap.(of.) 104, mun. Chişinău, Republica Moldova","SOCIETATEA CU RASPUNDERE LIMITATA ""SANTEHNICON""","Societatea cu Răspundere Limitată ""SKYBUILD INVEST"""
169,2025-04-23,1016600008945,"Societatea cu Răspundere Limitată ""ELWIKO WORK GLOBAL""","MD-2032, str. Nicolai Zelinski 1, ap.(of.) 21, mun. Chişinău, Republica Moldova","SOCIETATEA CU RASPUNDERE LIMITATA ""BIGTRADE INTERNATIONAL""","Societatea cu Răspundere Limitată ""ELWIKO WORK GLOBAL"""
170,2025-04-30,1024602005668,"Societatea cu Răspundere Limitată ""ELY DENT""","MD-2044, str. Mihail Sadoveanu 2, ap.(of.) 80, mun. Chişinău, Republica Moldova","SOCIETATEA CU RASPUNDERE LIMITATA ""GOBJILA DENT""","Societatea cu Răspundere Limitată ""ELY DENT"""
171,2025-04-30,1007600039457,"Societatea cu Răspundere Limitată ""ICGINC""","MD-2051, str. Alba-Iulia 1, mun. Chişinău, Republica Moldova","INTREPRINDEREA CU CAPITAL STRAIN ""ICGINC"" S.R.L.","Societatea cu Răspundere Limitată ""ICGINC"""
